Sample	Coverage	FNR_Value	Hausdorff_Distance	Frechet_Distance	SSE	SSE_log10	Distance_Scale
gr_wolf.spain.SAMN04851099	4.0	0.42	523619941.99712646	570634742.533525	150940130734.646	13.590743485511979	psmc
gr_wolf.spain.SAMN04851099	4.0	0.43	516962255.0414231	578778650.7924951	149177134187.21893	13.366615424597441	psmc
gr_wolf.spain.SAMN04851099	4.0	0.44	510066793.55158734	574942717.6039683	147360680793.20633	13.195827272474649	psmc
gr_wolf.spain.SAMN04851099	4.0	0.45	502920588.00757575	570967295.9358586	145160377914.46033	12.939064458775945	psmc
gr_wolf.spain.SAMN04851099	4.0	0.46	495509708.1841564	566844636.4281893	141914666237.25757	12.59133334887963	psmc
gr_wolf.spain.SAMN04851099	4.0	0.47	487819172.51834387	562566404.8636268	139769674869.20395	12.35640949044515	psmc
gr_wolf.spain.SAMN04851099	4.0	0.48	479832847.0192308	558123625.9311966	137298642934.9472	12.10587752641481	psmc
gr_wolf.spain.SAMN04851099	4.0	0.49	471533332.2848584	553229246.2563181	135245509685.28644	11.939290692540611	psmc
gr_wolf.spain.SAMN04851099	4.0	0.5	462901836.9611111	548704934.5944445	131729926218.97801	11.4347382386457	psmc
gr_wolf.spain.SAMN04851099	4.0	0.51	453918035.70578223	543707261.6402494	128523442363.52657	11.117689576897227	psmc
gr_wolf.spain.SAMN04851099	4.0	0.52	444559909.398148	538501352.3129629	125846504882.63391	10.855574704069571	psmc
gr_wolf.spain.SAMN04851099	4.0	0.53	434803564.94976354	532772934.50366426	123695279831.20015	10.716379268879384	psmc
gr_wolf.spain.SAMN04851099	4.0	0.54	424623031.6123188	527410502.00700486	119862892663.18283	10.17288075025863	psmc
gr_wolf.spain.SAMN04851099	4.0	0.55	413990030.12654316	521495381.8438271	116156482463.9954	9.844136923007522	psmc
gr_wolf.spain.SAMN04851099	4.0	0.56	402873710.3914141	515311392.5823232	113489374148.05995	9.634663622681888	psmc
gr_wolf.spain.SAMN04851099	4.0	0.57	391240352.5290698	508839775.9133075	110961629440.55782	9.473854553164582	psmc
gr_wolf.spain.SAMN04851099	4.0	0.58	379053025.2447091	502059987.0219577	106299342566.0597	8.850571387198675	psmc
gr_wolf.spain.SAMN04851099	4.0	0.59	366271194.1903794	494949476.7212737	102660042481.09013	8.562789044089401	psmc
gr_wolf.spain.SAMN04851099	4.0	0.6	352850271.5833334	487483440.90555555	99933868697.11978	8.422463451615124	psmc
gr_wolf.spain.SAMN04851099	4.0	0.61	338741096.5349003	479634531.45826215	95964540761.30602	7.833591057387492	psmc
gr_wolf.spain.SAMN04851099	4.0	0.62	331344998.71578944	471372521.5137427	90853389560.63843	7.475390971039005	psmc
gr_wolf.spain.SAMN04851099	4.0	0.63	336423007.0546546	462663916.43708706	87676756371.08002	7.281919701297659	psmc
gr_wolf.spain.SAMN04851099	4.0	0.64	334253848.46543205	453471499.9672839	83573616421.10126	6.7134619664224955	psmc
gr_wolf.spain.SAMN04851099	4.0	0.65	337883719.2873016	443753802.55634916	78474032883.96391	6.396243659326474	psmc
gr_wolf.spain.SAMN04851099	4.0	0.66	336832901.1581698	433464475.88594764	75048851634.8994	6.212234961577211	psmc
gr_wolf.spain.SAMN04851099	4.0	0.67	337557969.1612795	422551553.6597643	70408047453.73936	5.584709356328481	psmc
gr_wolf.spain.SAMN04851099	4.0	0.68	336283727.81666654	410956573.79444444	64996101040.460945	5.286485490800491	psmc
gr_wolf.spain.SAMN04851099	4.0	0.69	336591503.7501791	398613530.7120072	62051346821.571785	5.192076791315252	psmc
gr_wolf.spain.SAMN04851099	4.0	0.7	338537230.77037036	385447618.09074074	55532863673.04545	4.425825149728536	psmc
gr_wolf.spain.SAMN04851099	4.0	0.71	338110432.5532567	371817185.6477013	51349387265.76518	4.222160836436647	psmc
gr_wolf.spain.SAMN04851099	4.0	0.72	338553671.76349205	356294525.8579365	48123283855.587006	4.117742265279216	psmc
gr_wolf.spain.SAMN04851099	4.0	0.73	325481811.00082296	340098363.5063786	40621404577.74789	3.2983704344546734	psmc
